Controller Name:,"GernBlensten784091216"
Trend Name:,"BottleFiller"
Trend Tags:,"4"
Sample Period:,"500" ms
Description:,""
Start Trigger:,No Trigger

Stop Trigger:,No Trigger

Start Time:,6/10/2022,11:18:42;805
Stop Time:,6/10/2022,11:41:48;805
Pre-Samples:,"0"
Post-Samples:,"0"
Header:,Date,Time,"Program:MainProgram\WidgetNumber","Program:MainProgram\WidgetScrap_BadCap","Program:MainProgram\WidgetScrap_Underfill","Program:MainProgram\WidgetScrap_BadBottle"
Data,6/10/2022,11:18:42;805,"2031","0","0","0"
Data,6/10/2022,11:18:43;305,"2032","0","0","0"
Data,6/10/2022,11:18:43;805,"2033","0","0","0"
Data,6/10/2022,11:18:44;305,"2034","0","1","0"
Data,6/10/2022,11:18:44;805,"2035","1","0","0"
Data,6/10/2022,11:18:45;305,"2036","1","0","0"
Data,6/10/2022,11:18:45;805,"2037","0","0","0"
Data,6/10/2022,11:18:46;305,"2038","0","1","0"
Data,6/10/2022,11:18:46;805,"2039","0","0","0"
Data,6/10/2022,11:18:47;305,"2040","0","0","0"
Data,6/10/2022,11:18:47;805,"2041","0","0","0"
Data,6/10/2022,11:18:48;305,"2042","0","0","0"
Data,6/10/2022,11:18:48;805,"2043","0","0","0"
Data,6/10/2022,11:18:49;305,"2044","0","0","0"
Data,6/10/2022,11:18:49;805,"2045","0","0","0"
Data,6/10/2022,11:18:50;305,"2046","0","0","0"
Data,6/10/2022,11:18:50;805,"2047","0","0","0"
Data,6/10/2022,11:18:51;305,"2048","0","0","0"
Data,6/10/2022,11:18:51;805,"2049","0","0","0"
Data,6/10/2022,11:18:52;305,"2050","0","0","0"
Data,6/10/2022,11:18:52;805,"2051","0","0","0"
Data,6/10/2022,11:18:53;305,"2052","0","0","0"
Data,6/10/2022,11:18:53;805,"2053","0","0","0"
Data,6/10/2022,11:18:54;305,"2054","0","0","0"
Data,6/10/2022,11:18:54;805,"2055","0","0","0"
Data,6/10/2022,11:18:55;305,"2056","0","0","0"
Data,6/10/2022,11:18:55;805,"2057","0","0","0"
Data,6/10/2022,11:18:56;305,"2058","0","0","0"
Data,6/10/2022,11:18:56;805,"2059","0","0","0"
Data,6/10/2022,11:18:57;305,"2060","0","0","0"
Data,6/10/2022,11:18:57;805,"2061","0","0","0"
Data,6/10/2022,11:18:58;305,"2062","0","0","0"
Data,6/10/2022,11:18:58;805,"2063","0","0","0"
Data,6/10/2022,11:18:59;305,"2064","0","0","0"
Data,6/10/2022,11:18:59;805,"2065","0","0","0"
Data,6/10/2022,11:19:00;305,"2066","0","0","0"
Data,6/10/2022,11:19:00;805,"2067","0","0","0"
Data,6/10/2022,11:19:01;305,"2068","0","0","0"
Data,6/10/2022,11:19:01;805,"2069","0","0","0"
Data,6/10/2022,11:19:02;305,"2070","0","0","0"
Data,6/10/2022,11:19:02;805,"2071","0","0","0"
Data,6/10/2022,11:19:03;305,"2072","0","0","0"
Data,6/10/2022,11:19:03;805,"2073","0","0","0"
Data,6/10/2022,11:19:04;305,"2074","0","0","0"
Data,6/10/2022,11:19:04;805,"2075","0","0","0"
Data,6/10/2022,11:19:05;305,"2076","0","0","0"
Data,6/10/2022,11:19:05;805,"2077","0","0","0"
Data,6/10/2022,11:19:06;305,"2078","0","0","0"
Data,6/10/2022,11:19:06;805,"2079","0","0","0"
Data,6/10/2022,11:19:07;305,"2080","0","0","0"
Data,6/10/2022,11:19:07;805,"2081","0","0","0"
Data,6/10/2022,11:19:08;305,"2082","0","0","0"
Data,6/10/2022,11:19:08;805,"2083","0","0","0"
Data,6/10/2022,11:19:09;305,"2084","0","0","0"
Data,6/10/2022,11:19:09;805,"2085","0","0","0"
Data,6/10/2022,11:19:10;305,"2086","0","0","0"
